olympus, blue, hidden word.
superhero, red, hidden word.
paste, blue, hidden word.
chocolate, neutral, hidden word.
missile, red, hidden word.
deck, red, hidden word.
horn, blue, hidden word.
angel, red, hidden word.
mouth, red, hidden word.
screen, blue, hidden word.
post, neutral, hidden word.
change, neutral, hidden word.
queen, blue, hidden word.
temple, red, hidden word.
mail, neutral, hidden word.
conductor, red, hidden word.
cook, blue, hidden word.
rome, neutral, hidden word.
water, blue, hidden word.
table, red, hidden word.
knight, blue, hidden word.
slip, neutral, hidden word.
orange, blue, hidden word.
scientist, neutral, hidden word.
compound, assassin, hidden word.
