fence, red, hidden word.
wake, blue, hidden word.
washer, blue, hidden word.
note, red, hidden word.
check, blue, hidden word.
pilot, neutral, hidden word.
gas, neutral, hidden word.
part, blue, hidden word.
pants, neutral, hidden word.
ruler, red, hidden word.
africa, blue, hidden word.
hood, neutral, hidden word.
shadow, neutral, hidden word.
limousine, blue, hidden word.
pirate, red, hidden word.
ship, blue, hidden word.
scorpion, red, hidden word.
horn, blue, hidden word.
chair, red, hidden word.
olive, neutral, hidden word.
fire, assassin, hidden word.
alps, red, hidden word.
film, red, hidden word.
sock, blue, hidden word.
jack, neutral, hidden word.
