cricket, blue, hidden word.
forest, blue, hidden word.
orange, blue, hidden word.
pitch, blue, hidden word.
paper, red, hidden word.
wind, neutral, hidden word.
mine, neutral, hidden word.
pit, neutral, hidden word.
grace, neutral, hidden word.
loch ness, red, hidden word.
berlin, blue, hidden word.
ninja, blue, hidden word.
stock, red, hidden word.
queen, blue, hidden word.
europe, red, hidden word.
light, blue, hidden word.
head, red, hidden word.
center, neutral, hidden word.
plot, red, hidden word.
field, red, hidden word.
ruler, assassin, hidden word.
telescope, red, hidden word.
lawyer, blue, hidden word.
glass, neutral, hidden word.
thief, neutral, hidden word.
