tokyo, neutral, hidden word.
lion, blue, hidden word.
telescope, blue, hidden word.
fence, neutral, hidden word.
spring, blue, hidden word.
iron, assassin, hidden word.
gold, blue, hidden word.
ivory, neutral, hidden word.
scorpion, red, hidden word.
switch, blue, hidden word.
rome, red, hidden word.
rock, neutral, hidden word.
egypt, blue, hidden word.
key, red, hidden word.
space, blue, hidden word.
draft, red, hidden word.
rose, red, hidden word.
fall, red, hidden word.
fish, blue, hidden word.
board, neutral, hidden word.
net, red, hidden word.
tail, neutral, hidden word.
robin, neutral, hidden word.
gas, red, hidden word.
time, red, hidden word.
